    Step    Atoms         KinEng            CPU         Volume 
  150001     1005  2.3338009e-06              0          0.011 
  170501     1005  8.9496536e-08  2.5238969e-07          0.011      833.51437 
    Step    Atoms         KinEng            rke         Volume       heattran 
  170501     1005  8.9496536e-08  2.5238969e-07          0.011      840.47342 
  171000     1005  1.3740814e-08  1.1314103e-08          0.011      833.54451 
  171001     1005  1.3689983e-08  1.1212073e-08          0.011      833.53063 
    Step    Atoms         KinEng            rke         Volume       heattran 
  171001     1005  1.3689983e-08  1.1212073e-08          0.011      840.47342 
  171501     1005  8.2038368e-09  1.9889435e-08          0.011      833.54649 
    Step    Atoms         KinEng            rke         Volume       heattran 
  171501     1005  8.2038368e-09  1.9889435e-08          0.011      840.47342 
  172000     1005  2.8892211e-08  8.0577054e-08          0.011      833.57581 
  172001     1005   2.894774e-08  8.0703475e-08          0.011      833.56198 
    Step    Atoms         KinEng            rke         Volume       heattran 
  172001     1005   2.894774e-08  8.0703475e-08          0.011      840.47342 
  172501     1005  5.9420464e-08    1.69154e-07          0.011       833.5771 
    Step    Atoms         KinEng            rke         Volume       heattran 
  172501     1005  5.9420464e-08    1.69154e-07          0.011      840.47342 
  173000     1005    6.98953e-08  3.1113018e-07          0.011      833.60561 
  173001     1005  6.9910893e-08  3.1146155e-07          0.011      833.59184 
    Step    Atoms         KinEng            rke         Volume       heattran 
  173001     1005  6.9910893e-08  3.1146155e-07          0.011      840.47342 
  173501     1005   9.107982e-08  4.9894924e-07          0.011      833.60623 
    Step    Atoms         KinEng            rke         Volume       heattran 
  173501     1005   9.107982e-08  4.9894924e-07          0.011      840.47342 
  174000     1005  1.4210044e-07   7.331756e-07          0.011      833.63388 
  174001     1005  1.4221799e-07  7.3370038e-07          0.011      833.62017 
    Step    Atoms         KinEng            rke         Volume       heattran 
  174001     1005  1.4221799e-07  7.3370038e-07          0.011      840.47342 
  174501     1005  1.9947314e-07  1.0200802e-06          0.011      833.63382 
    Step    Atoms         KinEng            rke         Volume       heattran 
  174501     1005  1.9947314e-07  1.0200802e-06          0.011      840.47342 
  175000     1005  2.5437262e-07  1.3374112e-06          0.011      833.66075 
  175001     1005  2.5448541e-07  1.3380707e-06          0.011       833.6471 
    Step    Atoms         KinEng            rke         Volume       heattran 
  175001     1005  2.5448541e-07  1.3380707e-06          0.011      840.47342 
  175501     1005  3.1290171e-07  1.6824558e-06          0.011      833.66003 
    Step    Atoms         KinEng            rke         Volume       heattran 
  175501     1005  3.1290171e-07  1.6824558e-06          0.011      840.47342 
  176000     1005  3.7873157e-07  2.0612696e-06          0.011      833.68621 
  176001     1005  3.7887576e-07  2.0620647e-06          0.011      833.67261 
    Step    Atoms         KinEng            rke         Volume       heattran 
  176001     1005  3.7887576e-07  2.0620647e-06          0.011      840.47342 
  176501     1005  4.5687592e-07  2.4740062e-06          0.011      833.68483 
    Step    Atoms         KinEng            rke         Volume       heattran 
  176501     1005  4.5687592e-07  2.4740062e-06          0.011      840.47342 
  177000     1005  5.3973228e-07  2.9052753e-06          0.011      833.71026 
  177001     1005  5.3989564e-07  2.9061527e-06          0.011      833.69671 
    Step    Atoms         KinEng            rke         Volume       heattran 
  177001     1005  5.3989564e-07  2.9061527e-06          0.011      840.47342 
  177501     1005  6.1863187e-07   3.349623e-06          0.011      833.70824 
    Step    Atoms         KinEng            rke         Volume       heattran 
  177501     1005  6.1863187e-07   3.349623e-06          0.011      840.47342 
  178000     1005  6.9616887e-07  3.8022983e-06          0.011      833.73294 
  178001     1005   6.963302e-07  3.8032167e-06          0.011      833.71944 
    Step    Atoms         KinEng            rke         Volume       heattran 
  178001     1005   6.963302e-07  3.8032167e-06          0.011      840.47342 
  178501     1005  7.8139828e-07  4.2669137e-06          0.011      833.73029 
    Step    Atoms         KinEng            rke         Volume       heattran 
  178501     1005  7.8139828e-07  4.2669137e-06          0.011      840.47342 
  179000     1005   8.705664e-07  4.7324638e-06          0.011      833.75428 
  179001     1005  8.7074212e-07  4.7333922e-06          0.011      833.74082 
    Step    Atoms         KinEng            rke         Volume       heattran 
  179001     1005  8.7074212e-07  4.7333922e-06          0.011      840.47342 
  179501     1005  9.5454302e-07  5.1922676e-06          0.011      833.75101 
    Step    Atoms         KinEng            rke         Volume       heattran 
  179501     1005  9.5454302e-07  5.1922676e-06          0.011      840.47342 
  180000     1005  1.0320116e-06  5.6373582e-06          0.011      833.77429 
  180001     1005  1.0321652e-06  5.6382367e-06          0.011      833.76087 
    Step    Atoms         KinEng            rke         Volume       heattran 
  180001     1005  1.0321652e-06  5.6382367e-06          0.011      840.47342 
  180501     1005   1.109662e-06  6.0702284e-06          0.011       833.7704 
    Step    Atoms         KinEng            rke         Volume       heattran 
  180501     1005   1.109662e-06  6.0702284e-06          0.011      840.47342 
  181000     1005  1.1870169e-06  6.4836223e-06          0.011      833.79294 
  181001     1005  1.1871684e-06  6.4844279e-06          0.011      833.77956 
    Step    Atoms         KinEng            rke         Volume       heattran 
  181001     1005  1.1871684e-06  6.4844279e-06          0.011      840.47342 
  181501     1005  1.2590749e-06  6.8727425e-06          0.011      833.78845 
    Step    Atoms         KinEng            rke         Volume       heattran 
  181501     1005  1.2590749e-06  6.8727425e-06          0.011      840.47342 
  182000     1005  1.3220747e-06  7.2281006e-06          0.011      833.81039 
  182001     1005  1.3221932e-06  7.2287787e-06          0.011      833.79704 
    Step    Atoms         KinEng            rke         Volume       heattran 
  182001     1005  1.3221932e-06  7.2287787e-06          0.011      840.47342 
  182501     1005  1.3786454e-06  7.5504052e-06          0.011      833.80531 
    Step    Atoms         KinEng            rke         Volume       heattran 
  182501     1005  1.3786454e-06  7.5504052e-06          0.011      840.47342 
  183000     1005  1.4305274e-06  7.8352759e-06          0.011       833.8266 
  183001     1005  1.4306262e-06   7.835808e-06          0.011      833.81328 
    Step    Atoms         KinEng            rke         Volume       heattran 
  183001     1005  1.4306262e-06   7.835808e-06          0.011      840.47342 
  183501     1005  1.4762363e-06  8.0805355e-06          0.011      833.82096 
    Step    Atoms         KinEng            rke         Volume       heattran 
  183501     1005  1.4762363e-06  8.0805355e-06          0.011      840.47342 
  184000     1005  1.5117976e-06  8.2796581e-06          0.011      833.84162 
  184001     1005  1.5118579e-06  8.2800102e-06          0.011      833.82833 
    Step    Atoms         KinEng            rke         Volume       heattran 
  184001     1005  1.5118579e-06  8.2800102e-06          0.011      840.47342 
